Bacteria,Yeast,Class,Replication,DAI,distance_to_yeast,colony_diameter,increase
B44,EMM_F48,Tremellomycetes,1,4,54.73,9.07,0.51
B44,EMM_F48,Tremellomycetes,2,4,0,8.41,0.22
B44,EMM_F48,Tremellomycetes,2,4,11.38,8.94,0.66
B44,EMM_F48,Tremellomycetes,2,4,17.4,9.2,0.74
B44,EMM_F48,Tremellomycetes,2,4,24.86,9.76,1.3
B44,EMM_F48,Tremellomycetes,2,4,31.78,10.21,1.74
B44,EMM_F48,Tremellomycetes,2,4,40.63,9.38,0.46
B44,EMM_F48,Tremellomycetes,2,4,47.75,8.94,0.02
B44,EMM_F48,Tremellomycetes,2,4,54.73,8.79,0.24
B44,EMM_F48,Tremellomycetes,3,4,0,7.72,0.01
B44,EMM_F48,Tremellomycetes,3,4,11.38,7.48,0.1
B44,EMM_F48,Tremellomycetes,3,4,17.4,8.12,0.22
B44,EMM_F48,Tremellomycetes,3,4,24.86,8.03,0.21
B44,EMM_F48,Tremellomycetes,3,4,31.78,7.8,-0.02
B44,EMM_F48,Tremellomycetes,3,4,40.63,7.71,0.04
B44,EMM_F48,Tremellomycetes,3,4,47.75,7.75,0.08
B44,EMM_F48,Tremellomycetes,3,4,54.73,7.62,0.39
B44,EMM_F63,Tremellomycetes,1,4,0,7.73,0.03
B44,EMM_F63,Tremellomycetes,1,4,11.38,8.12,0.21
B44,EMM_F63,Tremellomycetes,1,4,17.4,8.59,0.41
B44,EMM_F63,Tremellomycetes,1,4,24.86,8.6,0.42
B44,EMM_F63,Tremellomycetes,1,4,31.78,8.45,0.27
B44,EMM_F63,Tremellomycetes,1,4,40.63,8.34,-0.08
B44,EMM_F63,Tremellomycetes,1,4,47.75,9.54,0.42
B44,EMM_F63,Tremellomycetes,1,4,54.73,9.1,0.24
B44,EMM_F63,Tremellomycetes,2,4,0,7.78,0.03
B44,EMM_F63,Tremellomycetes,2,4,11.38,7.93,0.17
B44,EMM_F63,Tremellomycetes,2,4,17.4,8.38,0.61
B44,EMM_F63,Tremellomycetes,2,4,24.86,8.2,0.26
B44,EMM_F63,Tremellomycetes,2,4,31.78,9.11,0.22
B44,EMM_F63,Tremellomycetes,2,4,40.63,8.96,0.26
B44,EMM_F63,Tremellomycetes,2,4,47.75,8.2,0.23
B44,EMM_F63,Tremellomycetes,2,4,54.73,8.07,-0.14
B44,EMM_F63,Tremellomycetes,3,4,0,8.21,0.15
B44,EMM_F63,Tremellomycetes,3,4,11.38,8.02,-0.14
B44,EMM_F63,Tremellomycetes,3,4,17.4,8.33,0.17
B44,EMM_F63,Tremellomycetes,3,4,24.86,8.07,0.17
B44,EMM_F63,Tremellomycetes,3,4,31.78,8.03,0.5
B44,EMM_F63,Tremellomycetes,3,4,40.63,8.15,0.34
B44,EMM_F63,Tremellomycetes,3,4,47.75,8.48,0.34
B44,EMM_F63,Tremellomycetes,3,4,54.73,8.49,0.12
B44,EMM_F64,Tremellomycetes,1,4,0,8.4,0.05
B44,EMM_F64,Tremellomycetes,1,4,11.38,8.42,0.27
B44,EMM_F64,Tremellomycetes,1,4,17.4,8.44,0.57
B44,EMM_F64,Tremellomycetes,1,4,24.86,8.04,0.34
B44,EMM_F64,Tremellomycetes,1,4,31.78,8.14,0.64
B44,EMM_F64,Tremellomycetes,1,4,40.63,8.71,0.31
B44,EMM_F64,Tremellomycetes,1,4,47.75,8.05,0.33
B44,EMM_F64,Tremellomycetes,1,4,54.73,8.14,0.01
B44,EMM_F64,Tremellomycetes,2,4,0,7.88,0.49
B44,EMM_F64,Tremellomycetes,2,4,11.38,7.83,0.13
